BANK,IFSC,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0KLP001,KALUPUR - CHOKHA BAZAR,"415,CHOKHA BAZAR,KALUPUR,┬áAHMEDABAD 380002",22139422,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0KLB026,KALBADEVI - MUMBAI,"B 3-7 MANGALDAS BUILDING NO. 1, SHAMALDAS GANDHI MARG┬á,KALBADEVI,┬áMUMBAI - 400002",22074013,MUMBAI,MUMBAI,MAHARASHTRA
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0JOD051,JODHPUR,1 GROUND FLOOR SACHET-4 BUILDING PRERANA TRITH DERASAR ROAD JODHPUR SATTELLITE AHMEDABAD - 380015,26922291,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0JBR035,JETALPUR,"PANDIT DINDAYAL MARKET, APMC, JETALPUR-BAREJA ROAD,JETALPUR-382426",233755,JETALPUR,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0ISP019,ISANPUR,"2, ASOPALAVNAGAR SOC, NR.RAMWADI BUS-STOP, ISANPUR, AHMEDABAD-382443",25330540,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0GNR038,GANDHINAGAR,"KADI SARVE VIDHLAYAY CAMPUS, GATE NO.1, NEAR GH-6,SECTOR-23,GANDHINAGAR-382023",23241962,GANDHINAGAR,GANDHINAGAR,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0GHA046,GHATLODIYA,"NEAR OLD PANCHYAT OFFICE, GHATLODIYA GAM, AHMEDABAD-380061",27481547,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0DRV017,DRIVE IN,"KAMDHENU BHAVAN,OPP. T.V.TOWER, DRIVE-IN ROAD, AHMEDABAD-380054",26859486,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0CHH056,CHHATRAL,"PLOT NO 5/H-4/16,CHHATRAL INDUSTRIAL ESTATE,OPP HDFC BANK,CHHATRAL,TA-KALOL,DIST-GANDHINAGAR-382729",233600,KALOL,GANDHINAGAR,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0CGR048,MEMCO CROSS ROAD,"29,30 SHAYONA CENTER, BLOCK A, MEMCO CROSS ROAD, AHMEDABAD - 380 025",26444112,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0BVL003,BAVLA,"R.A COMPLEX (MUKHINU JIN) STATION ROAD BAZAAR, BAVLA TA:- BAVLA,DIST :AHMEDABAD-382220",232878,BAVLA,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0BRJ004,BAREJA,"TIN BATTI, AT : BAREJA, TA : DASKROI,┬áDIST : AHMEDABAD-382425",233917,BAREJA,AHMEDABAD,GUJARAT
